unique_key,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location
6414872,HP499186,2008-08-06 06:00:00.000000 UTC,0000X S WACKER DR,0810,THEFT,OVER $500,SIDEWALK,false,false,111,1,2,32,06,1173874.0,1900074.0,2008,2018-02-28 03:56:25.000000 UTC,41.88121504,-87.637001425,"(41.88121504, -87.637001425)"
6510741,HP585676,2008-09-19 11:15:00.000000 UTC,002XX S WACKER DR,0810,THEFT,OVER $500,OTHER,false,false,111,1,2,32,06,1173895.0,1899278.0,2008,2018-02-28 03:56:25.000000 UTC,41.879030298,-87.636948032,"(41.879030298, -87.636948032)"
12587097,JF106356,2022-01-07 04:30:00.000000 UTC,001XX N WABASH AVE,0810,THEFT,OVER $500,STREET,false,false,111,1,42,32,06,1176791.0,1901351.0,2022,2023-01-03 03:40:27.000000 UTC,41.884653752,-87.626251847,"(41.884653752, -87.626251847)"
12632667,JF161578,2022-03-02 10:28:00.000000 UTC,001XX N STATE ST,0810,THEFT,OVER $500,STREET,false,false,111,1,42,32,06,,,2022,2022-03-09 03:41:01.000000 UTC,,,
12808448,JF373879,2022-08-28 03:00:00.000000 UTC,0000X E RANDOLPH ST,0810,THEFT,OVER $500,PARKING LOT / GARAGE (NON RESIDENTIAL),false,false,111,1,42,32,06,1176550.0,1901291.0,2022,2023-01-03 03:40:27.000000 UTC,41.884494554,-87.627138636,"(41.884494554, -87.627138636)"
4387890,HL682702,2005-10-06 03:00:00.000000 UTC,006XX W ADAMS ST,0810,THEFT,OVER $500,STREET,false,false,111,1,2,28,06,1172262.0,1899353.0,2005,2018-02-10 03:50:01.000000 UTC,41.879272306,-87.642941847,"(41.879272306, -87.642941847)"
8147899,HT382624,2011-06-01 09:00:00.000000 UTC,001XX N WACKER DR,0810,THEFT,OVER $500,COMMERCIAL / BUSINESS OFFICE,false,false,111,1,42,32,06,1173852.0,1900960.0,2011,2018-02-10 03:50:01.000000 UTC,41.883646768,-87.637055812,"(41.883646768, -87.637055812)"
8304739,HT538845,2011-10-12 12:00:00.000000 UTC,0000X S DESPLAINES ST,0810,THEFT,OVER $500,STREET,false,false,111,1,2,28,06,1171937.0,1900127.0,2011,2018-02-10 03:50:01.000000 UTC,41.881403382,-87.64411236,"(41.881403382, -87.64411236)"
12065833,JD249449,2020-05-30 08:15:00.000000 UTC,002XX N DEARBORN ST,0810,THEFT,OVER $500,STREET,false,false,111,1,42,32,06,1175901.0,1901839.0,2020,2020-06-06 03:41:51.000000 UTC,41.886012928,-87.629505318,"(41.886012928, -87.629505318)"
3725546,HK832856,2004-12-28 07:45:00.000000 UTC,006XX W JACKSON BLVD,0810,THEFT,OVER $500,DRIVEWAY - RESIDENTIAL,false,false,111,1,2,28,06,1172228.0,1898889.0,2004,2018-02-28 03:56:25.000000 UTC,41.87799981,-87.64308039,"(41.87799981, -87.64308039)"
1523313,G271507,2001-05-08 09:00:00.000000 UTC,002XX S JEFFERSON ST,0810,THEFT,OVER $500,COMMERCIAL / BUSINESS OFFICE,false,false,111,1,,,06,1172327.0,1899156.0,2001,2015-08-17 03:03:40.000000 UTC,41.87873029,-87.642709,"(41.87873029, -87.642709)"
1551145,G308135,2001-05-28 09:30:00.000000 UTC,006XX W MONROE ST,0810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),false,false,111,1,,,06,1172325.0,1899858.0,2001,2015-08-17 03:03:40.000000 UTC,41.880656669,-87.642695601,"(41.880656669, -87.642695601)"
2234791,HH507632,2002-07-13 06:15:00.000000 UTC,002XX N CANAL ST,0810,THEFT,OVER $500,CONSTRUCTION SITE,false,false,111,1,42,28,06,,,2002,2015-08-17 03:03:40.000000 UTC,,,
2421290,HH739865,2002-10-26 09:00:00.000000 UTC,001XX N WACKER DR,0810,THEFT,OVER $500,STREET,false,false,111,1,42,32,06,1173921.0,1900913.0,2002,2018-02-28 03:56:25.000000 UTC,41.883516261,-87.636803841,"(41.883516261, -87.636803841)"
5552745,HN362409,2007-05-22 12:30:00.000000 UTC,005XX W MONROE ST,0810,THEFT,OVER $500,SIDEWALK,false,false,111,1,2,28,06,1172908.0,1899834.0,2007,2018-02-28 03:56:25.000000 UTC,41.880577917,-87.640555606,"(41.880577917, -87.640555606)"
5870297,HN676670,2007-10-29 08:51:00.000000 UTC,007XX W JACKSON BLVD,0810,THEFT,OVER $500,DEPARTMENT STORE,false,false,111,1,2,28,06,1171812.0,1898879.0,2007,2018-02-10 03:50:01.000000 UTC,41.877981539,-87.644608125,"(41.877981539, -87.644608125)"
5781806,HN592989,2007-09-16 11:00:00.000000 UTC,005XX W MONROE ST,0810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),false,false,111,1,2,28,06,1173053.0,1899838.0,2007,2018-02-28 03:56:25.000000 UTC,41.88058568,-87.640023065,"(41.88058568, -87.640023065)"
